index,label
46215.png,1
46222.png,2
46327.png,2
46337.png,0
46364.png,2
46374.png,2
46381.png,2
46384.png,1
46400.png,1
46409.png,2
46449.png,1
46509.png,1
46510.png,1
46514.png,0
46515.png,0
46546.png,0
46547.png,1
46589.png,0
46634.png,1
46660.png,2
46671.png,0
46681.png,1
46705.png,1
46714.png,2
46744.png,1
46753.png,2
46761.png,1
46765.png,1
46861.png,2
46890.png,2
46974.png,0
46977.png,1
46991.png,0
47008.png,0
47042.png,1
47047.png,0
47058.png,0
47067.png,1
47088.png,1
47101.png,0
47104.png,1
47121.png,0
47123.png,0
47158.png,2
47177.png,1
47183.png,1
47193.png,1
47250.png,1
47261.png,2
47264.png,0
47277.png,0
47285.png,1
47301.png,0
47340.png,0
47402.png,2
47454.png,1
47466.png,2
47474.png,0
47489.png,1
47502.png,2
47525.png,2
47532.png,0
47538.png,1
47539.png,2
47547.png,1
47574.png,0
47610.png,1
47616.png,2
47648.png,2
47676.png,0
47688.png,2
47689.png,2
47701.png,0
47745.png,2
47748.png,2
47759.png,2
47761.png,2
47764.png,1
47779.png,0
47808.png,0
47825.png,0
47864.png,1
47867.png,2
47868.png,0
47873.png,2
47903.png,0
47922.png,0
47934.png,1
47939.png,0
47944.png,1
47950.png,1
48042.png,1
48044.png,1
48073.png,1
48079.png,2
48082.png,1
48083.png,2
48136.png,2
48158.png,1
48170.png,2
48193.png,2
48201.png,2
48212.png,1
48231.png,2
48243.png,0
48249.png,1
48270.png,1
48278.png,1
48307.png,0
48347.png,2
48356.png,0
48358.png,2
48398.png,1
48406.png,1
48423.png,1
48425.png,0
48426.png,2
48427.png,2
48435.png,1
48457.png,2
48464.png,0
48472.png,2
48495.png,1
48532.png,1
48562.png,2
48587.png,1
48599.png,1
48605.png,1
48607.png,0
48610.png,2
48627.png,2
48637.png,1
48652.png,0
48653.png,2
48695.png,1
48706.png,0
48726.png,1
48745.png,1
48757.png,1
48825.png,2
48848.png,2
48912.png,0
48920.png,2
48925.png,2
48933.png,2
48985.png,1
48998.png,0
49000.png,0
49042.png,2
49059.png,0
49072.png,1
49074.png,2
49075.png,1
49108.png,0
49150.png,0
49155.png,2
49156.png,1
49173.png,0
49184.png,0
49200.png,2
49230.png,0
49256.png,1
49268.png,2
49271.png,2
49277.png,2
49300.png,0
49308.png,1
49310.png,1
49321.png,0
49326.png,1
49334.png,1
49341.png,1
49343.png,1
49356.png,2
49403.png,0
49405.png,2
49406.png,0
49436.png,0
49468.png,2
49475.png,0
49480.png,2
49489.png,0
49524.png,1
49526.png,0
49557.png,1
49575.png,0
49576.png,1
49594.png,2
49628.png,1
49645.png,1
49649.png,0
49667.png,1
49695.png,1
49704.png,1
49714.png,2
49759.png,0
49760.png,1
49773.png,2
49775.png,0
49790.png,0
49792.png,1
49805.png,1
49819.png,0
49832.png,2
49844.png,2
49867.png,1
49876.png,1
49877.png,2
49902.png,1
49924.png,2
49934.png,0
49944.png,0
49955.png,2
49983.png,1
49987.png,0
49995.png,1
