index,label
4843.png,0
4851.png,1
4870.png,1
4890.png,1
4892.png,1
4903.png,0
4905.png,0
4912.png,1
4917.png,0
4960.png,0
4988.png,1
4998.png,1
5060.png,0
5062.png,1
5070.png,0
5086.png,0
5096.png,0
5101.png,1
5107.png,1
5123.png,0
5163.png,0
5168.png,1
5174.png,0
5182.png,0
5189.png,0
5208.png,1
5212.png,0
5269.png,1
5292.png,0
5335.png,0
5367.png,1
5393.png,0
5404.png,1
5417.png,0
5444.png,0
5478.png,1
5509.png,1
5571.png,0
5589.png,1
5595.png,1
5608.png,0
5664.png,1
5672.png,1
5680.png,0
5692.png,0
5697.png,1
5699.png,1
5720.png,1
5721.png,0
5725.png,1
5733.png,0
5758.png,1
5777.png,0
5785.png,0
5841.png,1
5863.png,1
5883.png,1
5900.png,1
5903.png,1
5914.png,0
5939.png,1
5973.png,0
5989.png,0
6018.png,0
6029.png,1
6047.png,0
6070.png,1
6135.png,1
6136.png,0
6142.png,0
6152.png,0
6163.png,1
6166.png,1
6207.png,1
6234.png,1
6236.png,1
6275.png,0
6283.png,1
6284.png,0
6303.png,1
6320.png,0
6329.png,0
6354.png,0
6385.png,1
6396.png,1
6408.png,0
6410.png,0
6417.png,0
6445.png,1
6449.png,1
6453.png,1
6455.png,0
6457.png,0
6465.png,0
6467.png,1
6477.png,0
6512.png,1
6518.png,0
6522.png,0
6536.png,0
6579.png,1
6599.png,0
6609.png,1
6672.png,1
6681.png,0
6692.png,0
6744.png,1
6796.png,1
6802.png,1
6834.png,1
6846.png,0
6873.png,0
6905.png,0
6916.png,1
6961.png,1
6965.png,1
6970.png,0
6994.png,1
7011.png,0
7017.png,0
7036.png,1
7042.png,0
7058.png,1
7061.png,0
7080.png,1
7092.png,0
7103.png,0
7109.png,1
7127.png,0
7163.png,0
7197.png,0
7224.png,1
7244.png,0
7277.png,1
7292.png,1
7293.png,1
7319.png,1
7329.png,0
7350.png,0
7357.png,1
7368.png,1
7372.png,1
7374.png,0
7409.png,1
7418.png,1
7444.png,0
7453.png,0
7457.png,0
7458.png,1
7459.png,1
7500.png,1
7503.png,1
7506.png,0
7512.png,1
7518.png,1
7544.png,1
7600.png,1
7602.png,0
7645.png,1
7665.png,0
7670.png,1
7671.png,1
7675.png,1
7683.png,1
7693.png,1
7722.png,1
7774.png,1
7783.png,0
7790.png,1
7799.png,0
7819.png,1
7826.png,0
7851.png,0
7877.png,0
7906.png,1
7912.png,1
7926.png,1
7937.png,1
7972.png,0
8025.png,1
8028.png,0
8047.png,1
8068.png,1
8139.png,0
8157.png,1
8220.png,0
8260.png,1
8272.png,0
8289.png,1
8323.png,1
8324.png,1
8342.png,1
8343.png,1
8361.png,1
8430.png,0
8463.png,0
8490.png,0
8505.png,0
8534.png,1
8539.png,1
8541.png,0
8546.png,0
8548.png,1
8576.png,0
8586.png,1
8610.png,0
8613.png,1
8642.png,1
8672.png,1
8679.png,1
8692.png,1
8697.png,0
8721.png,1
8731.png,1
8769.png,0
8785.png,0
8812.png,0
8817.png,0
8826.png,0
8864.png,1
8876.png,0
8892.png,0
8908.png,1
8933.png,0
8941.png,1
8960.png,1
8961.png,0
9008.png,0
9016.png,1
9049.png,0
9050.png,0
9087.png,0
9115.png,1
9118.png,0
9126.png,1
9177.png,1
9178.png,0
9179.png,0
9202.png,1
9223.png,0
9261.png,0
9277.png,0
9281.png,0
9309.png,0
9322.png,0
9339.png,0
9349.png,1
9356.png,0
9364.png,1
9398.png,0
9404.png,1
9411.png,0
9426.png,0
9469.png,0
9478.png,0
9488.png,1
9496.png,0
9504.png,1
9549.png,0
9550.png,0
9561.png,0
9565.png,0
9583.png,0
9587.png,0
9588.png,1
9600.png,0
9609.png,0
9619.png,1
9632.png,0
9640.png,0
9642.png,1
9672.png,0
9688.png,0
9710.png,1
9713.png,0
9728.png,1
9742.png,1
9745.png,0
9768.png,1
9769.png,0
9805.png,0
9808.png,0
9819.png,0
9825.png,1
9843.png,1
9847.png,0
9849.png,1
9858.png,0
9859.png,1
9862.png,1
9864.png,1
9869.png,0
9873.png,0
9923.png,0
9925.png,0
9942.png,0
9959.png,0
9981.png,1
9986.png,1
